index,home,away,consecutive
0,SSG,KIA,2
1,SSG,롯데,3
2,SSG,NC,3
3,SSG,키움,3
4,SSG,두산,3
5,SSG,KT,3
6,SSG,한화,3
7,SSG,LG,3
8,SSG,삼성,3
9,SSG,키움,3
10,SSG,KT,3
11,SSG,롯데,3
12,SSG,삼성,3
13,SSG,LG,3
14,SSG,KIA,3
15,SSG,두산,3
16,SSG,한화,3
17,SSG,NC,3
18,SSG,삼성,3
19,SSG,LG,3
20,SSG,NC,3
21,SSG,키움,3
22,SSG,KIA,3
23,키움,한화,2
24,키움,LG,3
25,키움,KIA,3
26,키움,삼성,3
27,키움,KT,3
28,키움,SSG,3
29,키움,NC,3
30,키움,두산,3
31,키움,롯데,3
32,키움,LG,3
33,키움,KIA,3
34,키움,두산,3
35,키움,SSG,3
36,키움,NC,3
37,키움,KT,3
38,키움,한화,3
39,키움,삼성,3
40,키움,롯데,6
41,키움,두산,3
42,키움,KT,3
43,키움,한화,3
44,LG,삼성,3
45,LG,두산,3
46,LG,NC,3
47,LG,SSG,3
48,LG,KIA,3
49,LG,키움,3
50,LG,KT,3
51,LG,한화,3
52,LG,롯데,3
53,LG,NC,3
54,LG,삼성,3
55,LG,두산,3
56,LG,롯데,3
57,LG,KIA,3
58,LG,KT,3
59,LG,한화,3
60,LG,SSG,3
61,LG,키움,6
62,LG,롯데,3
63,LG,두산,3
64,LG,한화,3
65,KT,LG,2
66,KT,KIA,3
67,KT,한화,3
68,KT,SSG,3
69,KT,삼성,3
70,KT,NC,3
71,KT,롯데,3
72,KT,두산,3
73,KT,키움,3
74,KT,두산,3
75,KT,키움,3
76,KT,삼성,3
77,KT,롯데,3
78,KT,NC,3
79,KT,KIA,3
80,KT,LG,3
81,KT,SSG,3
82,KT,한화,3
83,KT,NC,3
84,KT,KIA,3
85,KT,삼성,3
86,KT,LG,3
87,KT,SSG,3
88,KIA,두산,3
89,KIA,한화,3
90,KIA,삼성,3
91,KIA,NC,3
92,KIA,롯데,3
93,KIA,SSG,3
94,KIA,키움,3
95,KIA,LG,3
96,KIA,KT,3
97,KIA,SSG,3
98,KIA,NC,3
99,KIA,KT,3
100,KIA,키움,3
101,KIA,삼성,3
102,KIA,두산,3
103,KIA,롯데,3
104,KIA,한화,3
105,KIA,LG,3
106,KIA,키움,3
107,KIA,한화,3
108,KIA,NC,3
109,KIA,LG,3
110,롯데,KT,3
111,롯데,LG,3
112,롯데,KIA,3
113,롯데,한화,3
114,롯데,키움,3
115,롯데,삼성,3
116,롯데,두산,3
117,롯데,SSG,3
118,롯데,NC,3
119,롯데,KIA,3
120,롯데,KT,3
121,롯데,한화,3
122,롯데,삼성,3
123,롯데,두산,3
124,롯데,LG,3
125,롯데,키움,3
126,롯데,NC,3
127,롯데,SSG,3
128,롯데,KIA,3
129,롯데,SSG,3
130,롯데,KT,3
131,롯데,두산,3
132,롯데,삼성,3
133,삼성,NC,2
134,삼성,한화,3
135,삼성,SSG,3
136,삼성,롯데,3
137,삼성,두산,3
138,삼성,키움,3
139,삼성,LG,3
140,삼성,KIA,3
141,삼성,KT,3
142,삼성,NC,3
143,삼성,롯데,3
144,삼성,키움,3
145,삼성,한화,3
146,삼성,두산,3
147,삼성,KT,3
148,삼성,SSG,3
149,삼성,KIA,3
150,삼성,LG,6
151,삼성,KIA,3
152,삼성,키움,3
153,삼성,NC,3
154,두산,롯데,2
155,두산,NC,3
156,두산,키움,3
157,두산,KT,3
158,두산,한화,3
159,두산,LG,3
160,두산,KIA,3
161,두산,삼성,3
162,두산,SSG,3
163,두산,한화,3
164,두산,KIA,3
165,두산,SSG,3
166,두산,NC,3
167,두산,키움,3
168,두산,롯데,3
169,두산,LG,3
170,두산,KT,3
171,두산,삼성,3
172,두산,KT,3
173,두산,NC,3
174,두산,SSG,3
175,두산,KIA,3
176,두산,삼성,3
177,한화,SSG,3
178,한화,두산,3
179,한화,LG,3
180,한화,NC,3
181,한화,KT,3
182,한화,삼성,3
183,한화,롯데,3
184,한화,KIA,3
185,한화,키움,3
186,한화,삼성,3
187,한화,LG,3
188,한화,키움,3
189,한화,KIA,3
190,한화,KT,3
191,한화,롯데,3
192,한화,SSG,3
193,한화,NC,3
194,한화,두산,6
195,한화,KT,3
196,한화,삼성,3
197,한화,롯데,3
198,한화,SSG,3
199,NC,키움,3
200,NC,KT,3
201,NC,롯데,3
202,NC,LG,3
203,NC,KIA,3
204,NC,SSG,3
205,NC,삼성,3
206,NC,한화,3
207,NC,두산,3
208,NC,SSG,3
209,NC,두산,3
210,NC,LG,3
211,NC,한화,3
212,NC,삼성,3
213,NC,롯데,3
214,NC,KIA,3
215,NC,KT,3
216,NC,키움,3
217,NC,한화,3
218,NC,LG,3
219,NC,키움,3
220,NC,롯데,3
