index,home,away,consecutive,datetime,day_of_week,weekend,holiday
1,SSG,KIA,2,2023-04-01 14:00:00,토,1,2
4,SSG,롯데,3,2023-04-04 18:30:00,화,0,0
7,SSG,NC,3,2023-04-14 18:30:00,금,1,2
10,SSG,키움,3,2023-04-21 18:30:00,금,1,2
13,SSG,두산,3,2023-04-28 18:30:00,금,1,2
16,SSG,KT,3,2023-05-02 18:30:00,화,0,0
19,SSG,한화,3,2023-05-12 18:30:00,금,1,2
22,SSG,LG,3,2023-05-23 18:30:00,화,0,0
25,SSG,삼성,3,2023-05-30 18:30:00,화,0,0
28,SSG,키움,3,2023-06-02 18:30:00,금,1,2
31,SSG,KT,3,2023-06-13 18:30:00,화,0,0
34,SSG,롯데,3,2023-06-16 18:30:00,금,1,2
37,SSG,삼성,3,2023-06-23 18:30:00,금,1,2
40,SSG,LG,3,2023-06-27 18:30:00,화,0,0
43,SSG,KIA,3,2023-07-04 18:30:00,화,0,0
46,SSG,두산,3,2023-07-11 18:30:00,화,0,0
49,SSG,한화,3,2023-07-28 18:30:00,금,1,2
52,SSG,NC,3,2023-08-08 18:30:00,화,0,0
55,SSG,삼성,3,2023-08-11 18:30:00,금,1,2
58,SSG,LG,3,2023-08-18 18:30:00,금,1,2
61,SSG,NC,3,2023-08-22 18:30:00,화,0,0
64,SSG,키움,3,2023-08-29 18:30:00,화,0,0
67,SSG,KIA,3,2023-09-01 18:30:00,금,1,2
69,키움,한화,2,2023-04-01 14:00:00,토,1,2
72,키움,LG,3,2023-04-04 18:30:00,화,0,0
75,키움,KIA,3,2023-04-14 18:30:00,금,1,2
78,키움,삼성,3,2023-04-18 18:30:00,화,0,0
81,키움,KT,3,2023-04-25 18:30:00,화,0,0
84,키움,SSG,3,2023-05-05 14:00:00,금,1,4
87,키움,NC,3,2023-05-12 18:30:00,금,1,2
90,키움,두산,3,2023-05-16 18:30:00,화,0,0
93,키움,롯데,3,2023-05-26 18:30:00,금,1,2
96,키움,LG,3,2023-06-06 17:00:00,화,0,1
99,키움,KIA,3,2023-06-13 18:30:00,화,0,0
102,키움,두산,3,2023-06-23 18:30:00,금,1,2
105,키움,SSG,3,2023-06-30 18:30:00,금,1,2
108,키움,NC,3,2023-07-04 18:30:00,화,0,0
111,키움,KT,3,2023-07-11 18:30:00,화,0,0
114,키움,한화,3,2023-07-25 18:30:00,화,0,0
117,키움,삼성,3,2023-07-28 18:30:00,금,1,2
123,키움,롯데,6,2023-08-08 18:30:00,화,0,2
126,키움,두산,3,2023-08-22 18:30:00,화,0,0
129,키움,KT,3,2023-09-01 18:30:00,금,1,2
132,키움,한화,3,2023-09-08 18:30:00,금,1,2
135,LG,삼성,3,2023-04-07 18:30:00,금,1,2
138,LG,두산,3,2023-04-14 18:30:00,금,1,2
141,LG,NC,3,2023-04-18 18:30:00,화,0,0
144,LG,SSG,3,2023-04-25 18:30:00,화,0,0
147,LG,KIA,3,2023-04-28 18:30:00,금,1,2
150,LG,키움,3,2023-05-09 18:30:00,화,0,0
153,LG,KT,3,2023-05-16 18:30:00,화,0,0
156,LG,한화,3,2023-05-19 18:30:00,금,1,2
159,LG,롯데,3,2023-05-30 18:30:00,화,0,0
162,LG,NC,3,2023-06-02 18:30:00,금,1,2
165,LG,삼성,3,2023-06-13 18:30:00,화,0,0
168,LG,두산,3,2023-06-16 18:30:00,금,1,2
171,LG,롯데,3,2023-06-23 18:30:00,금,1,2
174,LG,KIA,3,2023-06-30 18:30:00,금,1,2
177,LG,KT,3,2023-07-04 18:30:00,화,0,0
180,LG,한화,3,2023-07-11 18:30:00,화,0,0
183,LG,SSG,3,2023-07-21 18:30:00,금,1,2
189,LG,키움,6,2023-08-01 18:30:00,화,0,2
192,LG,롯데,3,2023-08-22 18:30:00,화,0,0
195,LG,두산,3,2023-08-29 18:30:00,화,0,0
198,LG,한화,3,2023-09-01 18:30:00,금,1,2
200,KT,LG,2,2023-04-01 14:00:00,토,1,2
203,KT,KIA,3,2023-04-04 18:30:00,화,0,0
206,KT,한화,3,2023-04-14 18:30:00,금,1,2
209,KT,SSG,3,2023-04-18 18:30:00,화,0,0
212,KT,삼성,3,2023-04-28 18:30:00,금,1,2
215,KT,NC,3,2023-05-09 18:30:00,화,0,0
218,KT,롯데,3,2023-05-12 18:30:00,금,1,2
221,KT,두산,3,2023-05-19 18:30:00,금,1,2
224,KT,키움,3,2023-05-23 18:30:00,화,0,0
227,KT,두산,3,2023-06-02 18:30:00,금,1,2
230,KT,키움,3,2023-06-09 18:30:00,금,1,2
233,KT,삼성,3,2023-06-16 18:30:00,금,1,2
236,KT,롯데,3,2023-06-20 18:30:00,화,0,0
239,KT,NC,3,2023-06-30 18:30:00,금,1,2
242,KT,KIA,3,2023-07-07 18:30:00,금,1,2
245,KT,LG,3,2023-07-25 18:30:00,화,0,0
248,KT,SSG,3,2023-08-01 18:30:00,화,0,0
251,KT,한화,3,2023-08-08 18:30:00,화,0,0
254,KT,NC,3,2023-08-11 18:30:00,금,1,2
257,KT,KIA,3,2023-08-22 18:30:00,화,0,0
260,KT,삼성,3,2023-08-29 18:30:00,화,0,0
263,KT,LG,3,2023-09-05 18:30:00,화,0,0
266,KT,SSG,3,2023-09-08 18:30:00,금,1,2
269,KIA,두산,3,2023-04-07 18:30:00,금,1,2
272,KIA,한화,3,2023-04-11 18:30:00,화,0,0
275,KIA,삼성,3,2023-04-21 18:30:00,금,1,2
278,KIA,NC,3,2023-04-25 18:30:00,화,0,0
